id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away,winner
65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,107.375,91.3125,16,16,1718,1461,home
66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,93.26666667,110.7142857,15,14,1399,1550,home
67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,91.61538462,83.92307692,13,13,1191,1091,home
68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,91.3125,89.78571429,16,14,1461,1257,away
69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,107.375,110.2307692,16,13,1718,1433,home
70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,91.3125,93.26666667,16,15,1461,1399,away
71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,89.78571429,91.61538462,14,13,1257,1191,home
72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,110.7142857,107.375,14,16,1550,1718,away
73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,110.2307692,83.92307692,13,13,1433,1091,home
74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,93.26666667,91.61538462,15,13,1399,1191,away
75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,83.92307692,91.3125,13,16,1091,1461,away
76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,89.78571429,110.2307692,14,13,1257,1433,home
77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,107.375,93.26666667,16,15,1718,1399,away
78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,110.7142857,91.61538462,14,13,1550,1191,home
79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,110.2307692,83.92307692,13,13,1433,1091,home
80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,91.3125,89.78571429,16,14,1461,1257,home
81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,107.375,91.61538462,16,13,1718,1191,away
82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,110.7142857,93.26666667,14,15,1550,1399,home
83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,83.92307692,89.78571429,13,14,1091,1257,away
84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,110.2307692,91.3125,13,16,1433,1461,away
85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,110.7142857,107.375,14,16,1550,1718,home
86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,91.61538462,89.78571429,13,14,1191,1257,home
87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,83.92307692,93.26666667,13,15,1091,1399,away
88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,107.375,110.2307692,16,13,1718,1433,home
89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,91.3125,91.61538462,16,13,1461,1191,away
90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,110.7142857,89.78571429,14,14,1550,1257,home
