,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
57,58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,RR,0,0,16,16,0,0
58,59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,MI,0,0,13,14,0,0
59,60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,RCB,0,0,16,13,0,0
60,61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,DD,0,0,14,15,0,0
61,62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,DC,0,0,13,16,0,0
62,63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,CSK,0,0,14,16,0,0
63,64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,KKR,0,0,14,13,0,0
64,65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,DC,0,0,16,16,0,0
65,66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,DD,0,0,15,14,0,0
66,67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,RR,0,0,13,13,0,0
67,68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,KXIP,0,0,16,14,0,0
68,69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,DC,0,0,16,13,0,0
69,70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,DD,0,0,16,15,0,0
70,71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,KXIP,0,0,14,13,0,0
71,72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,DC,0,0,14,16,0,0
72,73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,MI,0,0,13,13,0,0
73,74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,RR,0,0,15,13,0,0
