id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",KXIP,0,0,0,0,0,0
132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,MI,0,0,0,0,0,0
133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",RR,0,0,0,0,0,0
135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,MI,0,0,0,0,0,0
136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",RR,0,0,0,0,0,0
137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",KKR,0,0,0,0,0,0
138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,DD,0,0,0,0,0,0
139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,0,0,0,0
140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,MI,0,0,0,0,0,0
141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,DD,0,0,0,0,0,0
142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,MI,0,0,0,0,0,0
143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,DD,0,0,0,0,0,0
145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,KKR,0,0,0,0,0,0
146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",RCB,0,0,0,0,0,0
147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,MI,0,0,0,0,0,0
149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,KXIP,0,0,0,0,0,0
150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,DD,0,0,0,0,0,0
151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",RR,0,0,0,0,0,0
152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,KKR,0,0,0,0,0,0
155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,DC,0,0,0,0,0,0
156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,0,0,0,0
157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,0,0,0,0
158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,0,0,0,0,0,0
160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,MI,0,0,0,0,0,0
161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,0,0,0,0
162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,MI,0,0,0,0,0,0
163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,0,0,0,0
