,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
147,148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,home,105.125,105.875,16,16,1682,1694
148,149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,away,87.28571429,102.3571429,14,14,1222,1433
149,150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,home,93.85714286,112.625,14,16,1314,1802
150,151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",home,95.64285714,105.875,14,16,1339,1694
151,152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",home,114.125,105.125,16,16,1826,1682
152,153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,away,102.3571429,95.64285714,14,14,1433,1339
153,154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,home,87.28571429,93.85714286,14,14,1222,1314
154,155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,away,112.625,105.875,16,16,1802,1694
155,156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",away,105.125,102.3571429,16,14,1682,1433
156,157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",away,114.125,105.875,16,16,1826,1694
157,158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,away,87.28571429,112.625,14,16,1222,1802
158,159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,away,93.85714286,102.3571429,14,14,1314,1433
159,160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,home,105.125,95.64285714,16,14,1682,1339
160,161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",home,105.875,112.625,16,16,1694,1802
161,162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,home,105.125,93.85714286,16,14,1682,1314
162,163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",away,87.28571429,114.125,14,16,1222,1826
163,164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,away,95.64285714,112.625,14,16,1339,1802
164,165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",away,114.125,93.85714286,16,14,1826,1314
165,166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,away,102.3571429,105.875,14,16,1433,1694
166,167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,home,105.125,112.625,16,16,1682,1802
167,168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,away,95.64285714,87.28571429,14,14,1339,1222
168,169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,away,102.3571429,114.125,14,16,1433,1826
169,170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,home,105.875,93.85714286,16,14,1694,1314
