id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
37,2008,Mumbai,14-05-2008,CSK,MI,MI,field,Wankhede Stadium,MI,101.875,110,16,14,1630,1540
38,2008,Chandigarh,28-05-2008,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",KXIP,115.6,115,15,16,1734,1840
39,2008,Delhi,15-05-2008,DD,DC,DC,field,Feroz Shah Kotla,DD,106,97,14,14,1484,1358
40,2008,Mumbai,16-05-2008,KKR,MI,MI,field,Wankhede Stadium,MI,95.76923077,110,13,14,1245,1540
41,2008,Delhi,17-05-2008,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,106,115.6,14,15,1484,1734
42,2008,Jaipur,17-05-2008,RR,RCB,RCB,field,Sawai Mansingh Stadium,RR,115,90.85714286,16,14,1840,1272
43,2008,Hyderabad,18-05-2008,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",MI,110,97,14,14,1540,1358
44,2008,Kolkata,18-05-2008,KKR,CSK,KKR,bat,Eden Gardens,CSK,95.76923077,101.875,13,16,1245,1630
45,2008,Bangalore,19-05-2008,RCB,DD,DD,field,M Chinnaswamy Stadium,DD,90.85714286,106,14,14,1272,1484
46,2008,Kolkata,20-05-2008,KKR,RR,RR,field,Eden Gardens,RR,95.76923077,115,13,16,1245,1840
47,2008,Mumbai,21-05-2008,KXIP,MI,MI,field,Wankhede Stadium,KXIP,115.6,110,15,14,1734,1540
48,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",RCB,90.85714286,101.875,14,16,1272,1630
49,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",KXIP,97,115.6,14,15,1358,1734
50,2008,Delhi,24-05-2008,MI,DD,DD,field,Feroz Shah Kotla,DD,110,106,14,14,1540,1484
51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",RR,115,101.875,16,16,1840,1630
52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,RCB,90.85714286,97,14,14,1272,1358
53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,KKR,115.6,95.76923077,15,13,1734,1245
54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,RR,110,115,14,16,1540,1840
55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",CSK,97,101.875,14,16,1358,1630
56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,RR,115,106,16,14,1840,1484
57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,CSK,115.6,101.875,15,16,1734,1630
58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,RR,101.875,115,16,16,1630,1840
59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,MI,110.2307692,110.7142857,13,14,1433,1550
60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,RCB,91.3125,91.61538462,16,13,1461,1191
61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,DD,89.78571429,93.26666667,14,15,1257,1399
62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,DC,83.92307692,107.375,13,16,1091,1718
63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,CSK,110.7142857,91.3125,14,16,1550,1461
64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,KKR,89.78571429,83.92307692,14,13,1257,1091
65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,DC,107.375,91.3125,16,16,1718,1461
66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,DD,93.26666667,110.7142857,15,14,1399,1550
67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,RR,91.61538462,83.92307692,13,13,1191,1091
68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,KXIP,91.3125,89.78571429,16,14,1461,1257
69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,DC,107.375,110.2307692,16,13,1718,1433
70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,DD,91.3125,93.26666667,16,15,1461,1399
71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,KXIP,89.78571429,91.61538462,14,13,1257,1191
72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,DC,110.7142857,107.375,14,16,1550,1718
73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,MI,110.2307692,83.92307692,13,13,1433,1091
74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,RR,93.26666667,91.61538462,15,13,1399,1191
75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,RCB,83.92307692,91.3125,13,16,1091,1461
76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,KXIP,89.78571429,110.2307692,14,13,1257,1433
77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,DD,107.375,93.26666667,16,15,1718,1399
78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,CSK,110.7142857,91.61538462,14,13,1550,1191
79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,MI,110.2307692,83.92307692,13,13,1433,1091
80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,RCB,91.3125,89.78571429,16,14,1461,1257
81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,RR,107.375,91.61538462,16,13,1718,1191
82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,CSK,110.7142857,93.26666667,14,15,1550,1399
83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,KXIP,83.92307692,89.78571429,13,14,1091,1257
84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,RCB,110.2307692,91.3125,13,16,1433,1461
85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,CSK,110.7142857,107.375,14,16,1550,1718
86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,RR,91.61538462,89.78571429,13,14,1191,1257
87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,DD,83.92307692,93.26666667,13,15,1091,1399
88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,DC,107.375,110.2307692,16,13,1718,1433
89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,RR,91.3125,91.61538462,16,13,1461,1191
90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,CSK,110.7142857,89.78571429,14,14,1550,1257
91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,DD,110.2307692,93.26666667,13,15,1433,1399
92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,KXIP,107.375,89.78571429,16,14,1718,1257
93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,CSK,91.61538462,110.7142857,13,14,1191,1550
94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,MI,110.2307692,91.3125,13,16,1433,1461
95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,DD,83.92307692,93.26666667,13,15,1091,1399
96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,DC,107.375,91.61538462,16,13,1718,1191
97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,RCB,83.92307692,91.3125,13,16,1091,1461
98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,MI,89.78571429,110.2307692,14,13,1257,1433
99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,DD,93.26666667,107.375,15,16,1399,1718
